2350 0xe92e []	Lep N8 dex  (0) 141
2351 0xe92f []	Lep N9 sin  (0) 142
2352 0xe930 []	Lep N9 dex  [= Lat Nx] 143
2353 0xe931 []	Lep N10 sin  (0) 144
2354 0xe932 []	Lep N10 dex 145
2355 0xe933 []	Lep P1 sin [= Lep L2 sin = Raet L1 sin = Raet P2 sin = Raet T3 dex				 = Etr P1] 146
2356 0xe934 []	Lep P1 dex [= Lep L2 dex = Raet L1 dex  = Raet P2 dex = Raet T3 sin] 147
2357 0xe935 []	Lep P2 sin 148
2358 0xe936 []	Lep P2 dex  (0) 149
2359 0xe937 []	Lep P4 sin 150
2360 0xe938 []	Lep P4 dex  (0) 151
2361 0xe939 []	Lep Ð1  [= Run D1] (Maras 2014:90) 152
2362 0xe93a []	Lep San2  [= Raet San1 = Run E = Lat Mx] 153
2363 0xe93b []	Lep San3  [= Raet San3 = Lep M6; Lat M1] 154
2364 0xe93c []	Lep Ð2  (Maras 2014:90) 155
2365 0xe93d []	Lep San5 156
2366 0xe93e []	Lep San6  [= Raet San2 = Run M1 = Run D2] 157
2367 0xe93f []	Lep Q1 sin  (0) 158

2368 0xe940 []	Lep Q1 dex 159
2369 0xe941 []	Lep R1 sin  [= Raet R2 sin] 160
2370 0xe942 []	Lep R1 dex  [= Raet R2 dex] 161
2371 0xe943 []	Lep R2 sin 162
2372 0xe944 []	Lep R2 dex  (0) 163
2373 0xe945 []	Lep R3 sin  [= Raet R1 sin = Meldorf 2] 164
2374 0xe946 []	Lep R3 dex  [= Raet R1 dex] 165
2375 0xe947 []	Lep S1 sin  [= Raet S1 dex = RunOF S1 dex] 166
2376 0xe948 []	Lep S1 dex  [= Raet S1 sin = RunOF S1 sin] 167
2377 0xe949 []	Lep S2 sin  [= Raet S2 dex = RunOF S2 dex] 168
2378 0xe94a []	Lep S2 dex  [= Raet S2 sin = RunOF S2 sin] 169
2379 0xe94b []	Lep S3 sin  [= Run S3 sin/dex] 170
2380 0xe94c []	Lep S3 dex  [= Run S3 sin/dex] 171
2381 0xe94d []	Lep S4 sin  (0) 172
2382 0xe94e []	Lep S4 dex  (0) 173
2383 0xe94f []	Lep S5 174
2384 0xe950 []	Lep S6 sin  (0) 175
